Store,POG,POGName,POGDescription,Aisle,Side,Sequence
608,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),39,Left,6
613,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,6
614,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),551 KPNR 1,Left,1
615,8386823,D701_L00000_D03_C165_V681_F011_MX,HP 72IN HAIR CARE ACCESSORIES (FM),72,Right,1
649,8386828,D701_L00000_D03_C165_V682_F012_MX,HP 84IN HAIR CARE ACCESSORIES (FM) ALASKA,65,Left,1
650,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,4
651,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Right,2
652,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Left,1
653,8386811,D701_L00000_D03_C165_V680_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM) ALASKA,21,Right,16
654,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Left,1
655,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),38,Right,1
656,8386811,D701_L00000_D03_C165_V680_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM) ALASKA,21,Right,2
657,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),49,Left,3
658,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,1
659,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Right,7
660,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Left,5
661,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),34,Left,3
662,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Left,6
663,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,6
665,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Left,1
667,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,7
668,8386811,D701_L00000_D03_C165_V680_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM) ALASKA,20,Right,7
681,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),38,Right,1
682,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),42,Right,4
683,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),27,Right,1
685,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Right,4
688,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),26,Left,1
691,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),29,Right,1
694,8386817,D701_L00000_D03_C165_V681_F007_MX,HP 72IN HAIR CARE ACCESSORIES (FM),39,Right,4
